annotation_id	typeOfAnalysis	p_times	ranking
WP3596	Target_Hypergeom	0.27	268.5
WP1971	Target_NonCentral	0.152	269.5
WP3850	Target_NonCentral	0.011	269.5
WP2583	Target_Hypergeom	0.363	269.75
WP262	Target_Hypergeom	0.373	269.75
WP2118	Target_Hypergeom	0.288	270.0
WP2839	Target_NonCentral	0.022	270.0
WP2261	Target_NonCentral	0.071	270.0
WP4829	Target_NonCentral	0.039	270.0
WP4262	Target_NonCentral	0.117	270.0
WP1591	Target_NonCentral	0.017	270.0
WP3959	Target_Hypergeom	0.349	270.25
WP2406	Target_Hypergeom	0.301	271.25
WP138	Target_NonCentral	0.08	271.5
WP5046	Target_Hypergeom	0.347	272.0
WP3931	Target_Hypergeom	0.331	272.0
WP4582	Target_NonCentral	0.053	272.0
WP4241	Target_NonCentral	0.054	272.0
WP5122	Target_NonCentral	0.038	272.0
WP710	Target_NonCentral	0.114	272.0
WP127	Target_NonCentral	0.01	272.5
WP1434	Target_Hypergeom	0.365	272.75
WP231	Target_NonCentral	0.125	273.0
WP3935	Target_Hypergeom	0.328	273.0
WP3630	Target_Hypergeom	0.326	273.0
WP4321	Target_NonCentral	0.047	273.5
WP4223	Target_NonCentral	0.045	273.5
WP3646	Target_NonCentral	0.081	274.0
WP3668	Target_Hypergeom	0.305	274.25
WP4884	Target_Hypergeom	0.365	274.5
WP2038	Target_Hypergeom	0.27	274.5
WP4659	Target_NonCentral	0.057	274.5
WP4844	Target_NonCentral	0.058	274.5
WP3303	Target_NonCentral	0.073	275.0
WP4150	Target_NonCentral	0.043	275.0
WP2880	Target_NonCentral	0.039	275.0
WP5102	Target_NonCentral	0.035	275.0
WP2874	Target_Hypergeom	0.38	275.25
WP560	Target_NonCentral	0.035	275.5
WP4816	Target_NonCentral	0.031	275.5
WP3925	Target_NonCentral	0.068	275.5
WP3858	Target_NonCentral	0.049	276.0
WP4216	Target_NonCentral	0.094	276.0
WP3872	Target_NonCentral	0.09	276.0
WP4204	Target_Hypergeom	0.319	276.25
WP1471	Target_NonCentral	0.038	277.5
WP4823	Target_NonCentral	0.089	277.5
WP5083	Target_NonCentral	0.078	277.5
WP4585	Target_Hypergeom	0.317	277.5
WP2868	Target_Hypergeom	0.288	278.5
WP2817	Target_NonCentral	0.034	279.0
WP2112	Target_NonCentral	0.035	279.0
WP4549	Target_NonCentral	0.046	279.0
WP3414	Target_NonCentral	0.027	279.0
WP2876	Target_NonCentral	0.125	279.5
WP727	Target_NonCentral	0.056	279.5
WP4223	Target_Hypergeom	0.29	280.0
WP4136	Target_NonCentral	0.127	280.0
WP3967	Target_NonCentral	0.028	280.0
WP2814	Target_NonCentral	0.06	280.0
WP1742	Target_NonCentral	0.077	280.0
WP4222	Target_NonCentral	0.052	280.5
WP4884	Target_NonCentral	0.046	281.0
WP2815	Target_NonCentral	0.051	281.0
WP313	Target_NonCentral	0.021	281.5
WP2272	Target_NonCentral	0.032	281.5
WP3915	Target_Hypergeom	0.305	281.5
WP4538	Target_Hypergeom	0.298	281.5
WP4304	Target_Hypergeom	0.311	282.5
WP430	Target_Hypergeom	0.373	282.75
WP4298	Target_NonCentral	0.099	283.0
WP410	Target_NonCentral	0.122	283.0
WP3	Target_NonCentral	0.041	283.0
WP1984	Target_NonCentral	0.133	283.0
WP49	Target_NonCentral	0.023	283.5
WP3601	Target_Hypergeom	0.364	283.75
WP5102	Target_Hypergeom	0.289	284.0
WP314	Target_NonCentral	0.08	284.5
WP4861	Target_NonCentral	0.036	284.5
WP4767	Target_NonCentral	0.011	285.0
WP195	Target_NonCentral	0.039	285.0
WP195	Target_Hypergeom	0.315	285.0
WP4263	Target_NonCentral	0.078	285.0
WP3680	Target_NonCentral	0.021	285.5
WP2882	Target_NonCentral	0.125	285.5
WP3599	Target_NonCentral	0.063	285.5
WP5110	Target_Hypergeom	0.347	286.0
WP2878	Target_NonCentral	0.099	286.0
WP4842	Target_NonCentral	0.053	286.5
WP2035	Target_NonCentral	0.034	286.5
WP5101	Target_NonCentral	0.02	287.0
WP400	Target_Hypergeom	0.239	287.5
WP3	Target_Hypergeom	0.297	287.5
WP1438	Target_Hypergeom	0.094	287.75
WP4342	Target_Hypergeom	0.252	287.75
WP2849	Target_NonCentral	0.058	288.0
WP2828	Target_NonCentral	0.051	288.0
WP5097	Target_NonCentral	0.05	288.0
WP2197	Target_NonCentral	0.015	288.5
WP4872	Target_NonCentral	0.061	288.5
WP4211	Target_NonCentral	0.029	289.0
WP3982	Target_Hypergeom	0.343	289.0
WP5103	Target_Hypergeom	0.269	289.5
WP3890	Target_Hypergeom	0.333	290.0
WP4337	Target_Hypergeom	0.285	291.0
WP4838	Target_NonCentral	0.088	291.0
WP5098	Target_NonCentral	0.076	291.0
WP4258	Target_NonCentral	0.039	291.0
WP4329	Target_Hypergeom	0.354	291.0
WP2059	Target_NonCentral	0.023	291.5
WP558	Target_NonCentral	0.078	292.5
WP1772	Target_NonCentral	0.158	292.5
WP4877	Target_Hypergeom	0.254	293.0
WP4758	Target_NonCentral	0.036	293.0
WP5038	Target_NonCentral	0.026	293.0
WP2267	Target_NonCentral	0.068	293.0
WP707	Target_NonCentral	0.142	293.5
WP5055	Target_NonCentral	0.154	293.5
WP289	Target_NonCentral	0.024	294.0
WP3844	Target_Hypergeom	0.293	294.25
WP3969	Target_NonCentral	0.016	295.0
WP1591	Target_Hypergeom	0.247	295.0
WP2875	Target_Hypergeom	0.274	295.0
WP4312	Target_NonCentral	0.039	295.0
WP3878	Target_NonCentral	0.075	295.0
WP4747	Target_NonCentral	0.028	296.0
WP554	Target_NonCentral	0.043	296.0
WP3664	Target_NonCentral	0.011	296.0
WP3611	Target_NonCentral	0.111	296.0
WP4535	Target_NonCentral	0.015	296.0
WP4871	Target_NonCentral	0.027	296.5
WP3859	Target_NonCentral	0.036	297.0
WP4559	Target_NonCentral	0.042	297.0
WP2509	Target_NonCentral	0.029	297.0
WP2583	Target_NonCentral	0.036	297.0
WP1533	Target_NonCentral	0.101	297.0
WP581	Target_Hypergeom	0.31	297.5
WP2895	Target_NonCentral	0.024	298.0
WP4537	Target_NonCentral	0.041	298.0
WP4754	Target_NonCentral	0.181	298.0
WP4522	Target_NonCentral	0.109	298.5
WP5072	Target_Hypergeom	0.285	299.0
WP4206	Target_NonCentral	0.038	299.0
WP3998	Target_NonCentral	0.03	299.0
WP4482	Target_NonCentral	0.032	299.0
WP24	Target_NonCentral	0.037	300.0
WP4016	Target_Hypergeom	0.3	300.0
WP585	Target_Hypergeom	0.25	300.0
WP2855	Target_NonCentral	0.035	300.0
WP2431	Target_NonCentral	0.11	300.0
WP4205	Target_NonCentral	0.004	300.5
WP3287	Target_NonCentral	0.024	300.5
WP2813	Target_NonCentral	0.008	300.5
WP4685	Target_NonCentral	0.056	301.0
WP4673	Target_NonCentral	0.034	301.0
WP2870	Target_NonCentral	0.051	301.5
WP2507	Target_NonCentral	0.086	301.5
WP5124	Target_Hypergeom	0.27	302.0
WP2840	Target_NonCentral	0.023	302.0
WP3965	Target_NonCentral	0.025	302.0
WP1541	Target_Hypergeom	0.239	302.0
WP4906	Target_NonCentral	0.004	302.0
WP673	Target_NonCentral	0.036	302.0
WP4961	Target_Hypergeom	0.288	302.25
WP2643	Target_NonCentral	0.01	302.5
WP4396	Target_NonCentral	0.084	302.5
WP2363	Target_NonCentral	0.007	302.5
WP2884	Target_NonCentral	0.081	303.0
WP453	Target_NonCentral	0.113	303.0
WP5049	Target_Hypergeom	0.261	303.5
WP4300	Target_NonCentral	0.011	303.5
WP3591	Target_NonCentral	0.012	303.5
WP4304	Target_NonCentral	0.047	303.5
WP1449	Target_NonCentral	0.167	304.0
WP4864	Target_NonCentral	0.09	304.0
WP5066	Target_NonCentral	0.091	304.5
WP5110	Target_NonCentral	0.113	304.5
WP4313	Target_NonCentral	0.012	305.0
WP4312	Target_Hypergeom	0.243	305.0
WP4523	Target_Hypergeom	0.304	305.0
WP3981	Target_NonCentral	0.003	305.5
WP5121	Target_NonCentral	0.005	306.0
WP4186	Target_Hypergeom	0.26	306.0
WP4481	Target_NonCentral	0.034	306.0
WP3676	Target_NonCentral	0.045	307.0
WP3670	Target_NonCentral	0.012	307.0
WP3612	Target_NonCentral	0.032	307.0
WP3851	Target_NonCentral	0.041	307.0
WP3996	Target_Hypergeom	0.225	307.0
WP1991	Target_NonCentral	0.01	307.5
WP4337	Target_NonCentral	0.017	307.5
WP5117	Target_NonCentral	0.043	307.5
WP1528	Target_NonCentral	0.022	308.0
WP2328	Target_NonCentral	0.191	308.5
WP4786	Target_NonCentral	0.013	309.0
WP3596	Target_NonCentral	0.006	309.0
WP2361	Target_NonCentral	0.065	309.5
WP2911	Target_NonCentral	0.033	309.5
WP3413	Target_Hypergeom	0.25	309.75
WP4969	Target_NonCentral	0.073	310.0
WP262	Target_NonCentral	0.075	310.0
WP5092	Target_NonCentral	0.089	310.0
WP4290	Target_NonCentral	0.097	310.0
WP4496	Target_NonCentral	0.068	310.0
WP5111	Target_Hypergeom	0.339	310.25
WP615	Target_NonCentral	0.074	311.0
WP2881	Target_NonCentral	0.042	311.0
WP3630	Target_NonCentral	0.018	311.0
WP4880	Target_Hypergeom	0.288	311.5
