annotation_id	typeOfAnalysis	p_times	ranking
hsa04662	Target_Hypergeom	0.622	129.0
hsa04925	Target_Hypergeom	0.606	129.25
hsa05205	Target_NonCentral	0.068	129.5
hsa04330	Target_NonCentral	0.111	130.0
hsa04960	Target_NonCentral	0.059	130.0
hsa01521	Target_NonCentral	0.093	130.0
hsa05152	Target_NonCentral	0.159	130.0
hsa04550	Target_Hypergeom	0.601	131.0
hsa04611	Target_NonCentral	0.084	131.0
hsa04670	Target_NonCentral	0.107	131.0
hsa04550	Target_NonCentral	0.098	131.5
hsa05171	Target_Hypergeom	0.586	132.0
hsa04640	Target_NonCentral	0.23	132.0
hsa05207	Target_NonCentral	0.087	132.0
hsa04922	Target_NonCentral	0.07	133.0
hsa04630	Target_NonCentral	0.184	133.0
hsa04217	Target_Hypergeom	0.569	133.0
hsa04520	Target_NonCentral	0.063	133.0
hsa04659	Target_NonCentral	0.195	133.0
hsa04380	Target_NonCentral	0.095	133.5
hsa05224	Target_NonCentral	0.113	134.0
hsa05414	Target_Hypergeom	0.584	134.0
hsa05412	Target_Hypergeom	0.579	134.5
hsa04923	Target_NonCentral	0.057	134.5
hsa05017	Target_NonCentral	0.053	134.5
hsa05418	Target_NonCentral	0.071	135.0
hsa04929	Target_NonCentral	0.065	135.0
hsa04918	Target_NonCentral	0.076	135.5
hsa05226	Target_NonCentral	0.107	135.5
hsa04917	Target_NonCentral	0.138	135.5
hsa04662	Target_NonCentral	0.07	135.5
hsa04213	Target_NonCentral	0.079	136.0
hsa05031	Target_NonCentral	0.027	136.0
hsa04137	Target_Hypergeom	0.554	136.75
hsa00140	Target_Hypergeom	0.517	137.0
hsa04912	Target_Hypergeom	0.559	137.0
hsa00140	Target_NonCentral	0.207	137.0
hsa04722	Target_NonCentral	0.065	137.0
hsa04218	Target_NonCentral	0.175	138.0
hsa04928	Target_NonCentral	0.037	138.0
hsa04925	Target_NonCentral	0.091	138.0
hsa04722	Target_Hypergeom	0.572	138.0
hsa05415	Target_Hypergeom	0.534	138.0
hsa03320	Target_Hypergeom	0.537	138.0
hsa04514	Target_Hypergeom	0.529	139.0
hsa05219	Target_NonCentral	0.069	139.0
hsa04211	Target_NonCentral	0.067	139.0
hsa04210	Target_NonCentral	0.188	139.5
